Tên sản phẩm,Giá bán cũ,Giá mới,warranty,condition,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành (tháng),Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước,Trọng lượng sản phẩm,Chuẩn kháng nước / Bụi bẩn,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Màu màn hình,Tần số quét,Chất liệu mặt kính,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Bộ nhớ còn lại,Danh bạ lưu trữ,Thẻ nhớ ngoài,Số camera sau,Camera,Resolution,Aperture,Quay phim,Tính năng,Số Camera Selfie,Cảm biến,Bảo mật,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Số khe SIM,Thẻ SIM,Loại PIN,Dung lượng pin,OS,Version,Phụ kiện trong hộp,Hỗ trợ thẻ nhớ tối đa,Tỷ lệ diện tích sử dụng màn hình,Loại RAM,Kích thước màn hình phụ,Tỷ lệ màn hình,Mật độ điểm ảnh,Độ tương phản,Độ phủ màu,Pixel size,CPU,Pixel Size,Camera Type 1,Camera Type 2,Camera Type 3,Quay phim camera sau,Quay phim camera seflie,Tính năng camera selfie,Tính năng đặc biệt,Sensor,Type,Quay phim camera selfie
Samsung Galaxy Z Fold4,14.557.510 ₫,40.990.000 ₫,1 tháng,Trầy xước nhiều,Việt Nam,08/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,155.1 x 130.1 x 6.3,271 g,Có,Mặt lưng máy: Kính cường lực Khung máy: Kim loại,Snapdragon 8+ Gen 1,Octa-Core,8,,12 GB,7.6 inch,Dynamic AMOLED 2X,WXGA+,1768 x 2208 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,1200 nits,,256 GB,,Không giới hạn,Không,Triple rear camera,Wide - Ultra Wide - Telephoto,50.0 MP - 12.0 MP - 10.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,FullHD 1080p@240fps HD 720p@960fps - Quay phim FullHD Quay phim HD,Chụp góc rộng (Wide) Chuyên nghiệp (Pro) Ban đêm (Night Mode) Xóa phông Tự động lấy nét (AF) Lấy nét laser Toàn cảnh (Panorama) Nhận diện khuôn mặt A.I Camera Lấy nét theo pha (PDAF) Quay chậm (Slow Motion) Chụp góc siêu rộng (Ultrawide) Gắn thẻ ảnh địa lý Chống rung quang học (OIS) Ổn định hình ảnh quang học Zoom quang học HDR Cài đặt cân bằng trắng Làm đẹp video Zoom kỹ thuật số Flash LED Làm đẹp (Beautify) Trôi nhanh thời gian (Time Lapse) ISO Setting - Nhãn dán (AR Stickers) HDR Làm đẹp (Beautify) Tự động lấy nét (AF) Nhận diện khuôn mặt A.I Camera Xoá phông,Single selfie camera,Cảm biến la bàn Cảm biến vân tay Cảm biến tiệm cận Cảm biến ánh sáng,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G 4G,,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac/ax Wi-Fi Direct Wi-Fi Hotspot,GALILEO A-GPS QZSS GLONASS,v5.2,Radio FM NFC OTG Computer sync,2,"1 eSIM, 1 Nano SIM",Lithium-ion,4400 mAh,Android,Android 12,Cáp Sách HDSD Que lấy SIM,,88%,LPDDR5,6.2 inch,21:9,,,,,,,,,,,,,,,,
Vivo Y35 8GB-128GB Demo,3.088.800 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,10/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.3 x 76.1 x 8.28,188 g,IP54,Vỏ thân máy: Polymer,Snapdragon 680,,8,2.4 GHz,8 GB,6.58 inch,Chính: LCD,FHD+,2408 x 1080 Pixels,16.7 Triệu,90 Hz,,Điện dung đa điểm,550 nits,Adreno 610,128 GB,Khoảng 113 GB,,MicroSD,Triple rear camera,Standard - Bokeh - Macro lens,50.0 MP - 2.0 MP - 2.0 MP - 16.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.4 - ƒ/2.0,,Chuyên nghiệp (Pro) Ban đêm (Night Mode) Toàn cảnh (Panorama) Quay chậm (Slow Motion) Chụp chân dung - Ban đêm (Night Mode),,Cảm biến la bàn Cảm biến ánh sáng Cảm biến tiệm cận Cảm biến vân tay Con quay hồi chuyển Cảm biến trọng lực,Mở khóa khuôn mặt Mật khẩu Mở khoá vân tay cạnh viền,4G,Type C,802.11 a/b/g/n/ac Wi-Fi Hotspot Wi-Fi Direct,BEIDOU QZSS GALILEO GLONASS GPS,v5.0,Radio FM OTG,2,2 Nano SIM,Lithium-ion,5000 mAh,Android,Android 12,Miếng dán màn hình Ốp lưng Sạc Que lấy SIM Dây sạc Sách HDSD,1 TB,90.6%,LPDDR4X,,,401 ppi,1500:1,,0.64 µm - 1.75 µm - 1.00 µm,4 x Cortex-A73 + 4 x Cortex-A53,1.75 µm,,,,,,,,,CMOS - CMOS - CMOS - CMOS,
Vivo Y16 4GB-128GB Demo,2.018.280 ₫,Not available,1 tháng,Không trầy xước,Trung Quốc,09/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.95x75.55x8.19,183 g,IP52,Mặt lưng máy: Polymer,Helio P35,,8,2.3 GHz,4 GB,6.51 inch,LCD,HD+,720 x 1600 Pixels,16.7 Triệu,60 Hz,,Điện dung đa điểm,400 nits,PowerVR GE8320,128 GB,Khoảng 113 GB,,MicroSD,Double rear camera,Standard - Macro lens,13.0 MP - 2.0 MP - 5.0 MP,ƒ/2.2 - ƒ/2.4 - ƒ/2.2,,Làm đẹp (Beautify) Trôi nhanh thời gian (Time Lapse) Toàn cảnh (Panorama) Chuyên nghiệp (Pro),,Cảm biến ánh sáng Cảm biến la bàn Con quay hồi chuyển Cảm biến tiệm cận Cảm biến gia tốc Cảm biến vân tay,Mở khóa khuôn mặt Mật khẩu Mở khoá vân tay cạnh viền Mở khóa bằng mật mã,4G,Type C,Dual-band (2.4 GHz/ 5 GHz),GLONASS A-GPS BEIDOU GALILEO,v5.0,OTG Radio FM,2,2 Nano SIM,Lithium-ion,5000 mAh,Android,Android 12,Sách HDSD Miếng dán màn hình Dây sạc Que lấy SIM Sạc,1 TB,,LPDDR4X,,20:9,269 ppi,1500:1,70% NTSC,1.12 µm - 1.12 µm,,1.75 µm,,,,,,,,,CMOS - CMOS - CMOS,
V25E 8GB,4.908.750 ₫,Not available,1 tháng,Trầy xước nhiều,Trung Quốc,10/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,159.20 x 74.20 x 7.79,183 g,IP54,Mặt lưng máy: Kính,MediaTek Helio G99,8 - Core,8,2.2 GHz,8 GB,6.44 inch,AMOLED,FHD+,1080 x 2040 Pixel,16 Triệu,,Schott Xensation UP,Điện dung đa điểm,1000 nits,Mali-G57,128 GB,Khoảng 113 GB,Không giới hạn,MicroSD,Triple rear camera,Standard - Bokeh - Macro lens,64.0 MP - 2.0 MP - 2.0 MP - 32.0 MP,ƒ/1.79 - ƒ/2.4 - ƒ/2.4 - ƒ/2.0,,Ban đêm (Night Mode) Toàn cảnh (Panorama) Nhãn dán (AR Stickers) Trôi nhanh thời gian (Time Lapse) Quay video hiển thị kép Chụp chân dung - Nhãn dán (AR Stickers) Ban đêm (Night Mode),Single selfie camera,,,4G,,Wi-Fi Hotspot 802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz) Wi-Fi Direct,GLONASS BEIDOU QZSS GPS GALILEO,v5.2,OTG,2,2 Nano SIM,Lithium-ion,4500 mAh,Android,Android 12,Cáp Jack 3.5 mm Sách HDSD Ốp lưng Tai nghe Que lấy SIM Dây sạc Miếng dán màn hình Sạc,1 TB,91%,LPDDR4X,,20:9,409 ppi,,103% NTSC,0.70 µm - 1.75 µm - 0.80 µm,2 x Cortex-A76 2.20 GHz + 6 x Cortex-A55 2.00 GHz,1.75 µm,,,,,,,,,CMOS - CMOS - CMOS - CMOS,
OPPO A57 4GB-64GB Demo,2.262.920 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,6/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.6 x 75.7 x 8.4,193 g,Không,Mặt lưng máy: Nhựa,Helio G35,Octa-Core,8,2.3 GHz,3 GB,6.5 inch,IPS LCD,HD+,720 x 1600 Pixels,16 Triệu,60 Hz,Dinorex Glass,Điện dung đa điểm,,PowerVR GE8320,64 GB,Khoảng 50 GB,Không giới hạn,MicroSD,Double rear camera,Wide - Depth,13.0 MP - 2.0 MP - 8.0 MP,ƒ/2.2 - ƒ/2.4 - ƒ/2.0,FullHD 1080p@30fps HD 720p@30fps - Quay phim FullHD Quay phim HD,HDR Flash LED Quay chậm (Slow Motion) Gắn thẻ ảnh địa lý Nhận diện khuôn mặt Lấy nét theo pha (PDAF) Tự động lấy nét (AF) A.I Camera Làm đẹp (Beautify) Trôi nhanh thời gian (Time Lapse) Xóa phông Chụp góc rộng (Wide) - Nhận diện khuôn mặt A.I Camera Tự động lấy nét (AF) Làm đẹp (Beautify) HDR,Single selfie camera,Cảm biến trọng lực Cảm biến la bàn Con quay hồi chuyển Cảm biến ánh sáng Cảm biến tiệm cận,Mở khoá vân tay cạnh viền Mở khóa khuôn mặt Mở khóa bằng mật mã,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 b/g/n/ac Wi-Fi Direct Wi-Fi Hotspot,,v5.0,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 12 (ColorOS 12.1),Ốp lưng Sách HDSD Sạc Cáp,256 GB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04s,3.069.000 ₫,3.990.000 ₫,9 tháng,Không trầy xước,Việt Nam / Trung Quốc,2022,9,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.2 x 75.9 x 9.1 mm,195 g,Không,,Exynos 850,Octa-Core,8,1.6 GHz,4 GB,6.5 inch,PLS LCD,HD+,720 x 1600 Pixels,16 Triệu,90 Hz,Mặt kính cong 2.5D,Điện dung đa điểm,400 nits,,64 GB,,Tùy bộ nhớ,MicroSD,Triple rear camera,Wide - Macro lens - Portrait,50.0 MP - 2.0 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,Flash LED - Làm đẹp (Beautify),Single selfie camera,,Mở khóa bằng mật mã,4G 3G,Audio Jack: Jack 3.5 mm Cổng sạc: Type C,Wi-Fi Hotspot Wi-Fi Direct Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac,A-GPS,v5.0,Radio FM OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 12,Cáp Sạc Sách HDSD,1 TB,,,,,,,,,,,,,,,,,,,,
Xiaomi 13 Pro 12GB,13.839.320 ₫,Not available,1 tháng,Không trầy xước,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,1 g,,,,,,,12 GB,0.9 inch,,2K+,1440 x 3200 Pixels,,,,,,,256 GB,,,,,,,,,,Single selfie camera,,,,,,,,,,,Lithium polymer,4820 mAh,Android,Android 13.0,Sách HDSD Cáp Que lấy SIM,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S21 FE 5G 8GB Demo,5.692.500 ₫,Not available,5 tháng,Trầy xước ít,,,5,,,,,,,,,,,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nokia C20 2Gb,1.188.000 ₫,Not available,1 tháng,Trầy xước ít,Việt Nam,04/2021,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.3 x 77.9 x 8.8,191 g,,Polymer,Spreadtrum SC9863A,Octa-Core,8,1.6 GHz,2 GB,6.5 inch,IPS LCD,HD+,720 x 1600 Pixels,,,Kính cường lực,Điện dung đa điểm,,Mali-G52 MC2,32 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Wide,5.0 MP - 5.0 MP - 5.0 MP,ƒ/2.2 - ƒ/2.0 - ƒ/2.2,FullHD 1080p@30fps HD 720p@30fps - Quay phim FullHD,Chụp chân dung Tự động lấy nét (AF) Flash LED Làm đẹp (Beautify) Lấy nét theo pha (PDAF) Toàn cảnh (Panorama) Ban đêm (Night Mode) - Làm đẹp (Beautify) Nhận diện khuôn mặt Xoá phông,Single selfie camera,Cảm biến tiệm cận Cảm biến ánh sáng,Mở khóa bằng mật mã Mở khóa khuôn mặt,4G 5G,,802.11 b/g/n Wi-Fi Hotspot,A-GPS GPS,v4.2,Radio FM Slot SIM/thẻ nhớ dùng chung,2,2 Nano SIM,Lithium-ion,2950 mAh,Android,Android 11,Ốp lưng Que lấy SIM Adapter Cáp Tai nghe Sách HDSD,64 GB,97%,LPDDR3,,20:9,269 ppi,,,,,,,,,,,,,,,
Samsung Galaxy S21 Plus,12.991.000 ₫,Not available,1 tháng,Trầy xước ít,Việt Nam / Trung Quốc,01/2021,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,161.4 x 75.6 x 7.8,189 g,,Khung máy: Nhôm Mặt lưng máy: Kính cường lực,Exynos 2100,Octa-Core,8,2.2 GHz,8 GB,6.7 inch,Dynamic AMOLED 2X,FHD+,1080 x 2400 Pixels,16 Triệu,120 Hz,Gorilla Glass Victus,Điện dung đa điểm,,Mali-G78 MP14,128 GB,Khoảng 115 GB,,Không,Triple rear camera,Wide - Portrait - Macro lens,12.0 MP - 12.0 MP - 64.0 MP - 10.0 MP,ƒ/2.2,HD 720p@960fps FullHD 1080p@30fps FullHD 1080p@240fps FullHD 1080p@60fps - Quay phim FullHD Quay phim 4K,Tự động lấy nét (AF) Xóa phông Nhận diện khuôn mặt Làm đẹp video Ban đêm (Night Mode) Zoom quang học Chống rung quang học (OIS) HDR Lấy nét laser Làm đẹp (Beautify) Chụp góc rộng (Wide) Lấy nét theo pha (PDAF) ISO Setting A.I Camera Trôi nhanh thời gian (Time Lapse) Zoom kỹ thuật số Flash LED Chụp chân dung Chuyên nghiệp (Pro) Toàn cảnh (Panorama) Chụp góc siêu rộng (Ultrawide) - HDR A.I Camera Xoá phông Nhãn dán (AR Stickers) Tự động lấy nét (AF) Làm đẹp (Beautify) Nhận diện khuôn mặt,Single selfie camera,Cảm biến vân tay Cảm biến trọng lực Cảm biến ánh sáng,Mở khóa vân tay dưới màn hình Mở khóa bằng mật mã Mở khóa khuôn mặt,4G 5G,,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac/ax Wi-Fi Direct Wi-Fi Hotspot,GALILEO A-GPS GLONASS BDS,v5.0,OTG Radio FM NFC,2,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",Lithium-ion,4800 mAh,Android,Android 11,Cáp Sách HDSD Que lấy SIM,,,,,,,,,,,,,,,,,,,,,
Honor 90 12GB,7.405.860 ₫,11.990.000 ₫,8 tháng,Trầy xước ít,Trung Quốc,11.2023,8,,,161.9 x 74.1 x 7.80,183 g,,Nhựa,Snapdragon 7 Gen 1,,8,2.5 GHz,12 GB,6.7 inch,AMOLED,OLED,2664 × 1200 Pixels,1.07 tỷ,120 Hz,Kính nhựa,,,Adreno 644,512 GB,,,Không,Triple rear camera,,200.0 MP - 12.0 MP - 2.0 MP - 50.0 MP,ƒ/1.9 - ƒ/2.2 - ƒ/2.4 - ƒ/2.4,,Chế độ chân dung Bộ lọc màu,Single selfie camera,Cảm biến siêu âm Cảm biến phi vật lý,Mở khóa khuôn mặt,5G 3G 4G,,"802.11 a/b/g/n/ac/ax, 2x2 MIMO",GPS A-GPS GLONASS BEIDOU GALILEO,v5.2,,,,Lithium polymer,5000 mAh,Android,Android 13.0,Ốp lưng Sạc Sách HDSD,,,,,19.98:9,,,,,1 × Cortex-A710 2.5 GHz + 3 × Cortex-A710 2.36 GHz + 4 × Cortex-A510 1.8 GHz,,,,,,,,,,,
iPhone 12,9.877.120 ₫,17.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,10/2020,12,,,71.5 x 7.4 x 146.7 mm,164 g,IP68,Viền máy: Nhôm Mặt lưng máy: Kính,Apple A14 Bionic,Hexa-Core,6,3.1 GHz,4 GB,6.1 inch,OLED,Super Retina XDR,2532 x 1170 Pixels,16 Triệu,60 Hz,Phủ Ceramic,Điện dung đa điểm,,,64 GB,,Tùy bộ nhớ,Không,Double rear camera,,12.0 MP - 12.0 MP - 12.0 MP,ƒ/2.2,,Flash LED Chụp góc rộng (Wide) A.I Camera Nhận diện khuôn mặt Toàn cảnh (Panorama) Ban đêm (Night Mode) Chụp góc siêu rộng (Ultrawide) HDR Chạm lấy nét Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse) Xóa phông Chụp chân dung Tự động lấy nét (AF),Single selfie camera,Cảm biến ánh sáng Con quay hồi chuyển Cảm biến la bàn Cảm biến tiệm cận Cảm biến trọng lực,Mở khóa khuôn mặt Mở khóa bằng mật mã,4G 5G,Audio Jack: Lightning Cổng sạc: Lightning,802.11 ax,GALILEO QZSS GLONASS A-GPS,v5.0,Computer sync,1,"1 eSIM, 1 Nano SIM",Lithium-ion,2815 mAh,iOS,iOS 14,Sách HDSD Que lấy SIM Cáp,,,,,19.5:9,,,,,2 x Firestorm 3.1 GHz + 4 x Icestorm 1.8 GHz,,Wide,Ultra Wide,,FullHD 1080p@30fps FullHD 1080p@60fps HD 720p@30fps FullHD 1080p@120fps FullHD 1080p@240fps 4K 2160p@24fps 4K 2160p@60fps 4K 2160p@30fps,Quay phim FullHD,Xoá phông Chụp góc rộng (Wide) Nhận diện khuôn mặt HDR Tự động lấy nét (AF),,,,
Samsung Galaxy S24 5G,16.450.280 ₫,22.990.000 ₫,6 tháng,Trầy xước ít,Việt Nam / Trung Quốc,01/2024,6,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,70.6 x 147 x 7.6,167 g,IP68,Khung máy: Hợp kim nhôm,Exynos 2400,,8,3.2 GHz,8 GB,6.2 inch,FHD,Dynamic AMOLED 2X,1080 x 2340 Pixels,16 Triệu,120,Corning Gorilla Glass Victus,,2600 nits,Xclipse 940,256 GB,,Không giới hạn,Không,Triple rear camera,Wide - Ultra Wide - Telephoto,50 MP - 12.0 MP - 10.0 MP - 12.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,8K 4230p@30fps,"Chụp góc siêu rộng (Ultrawide) Chụp chân dung Zoom kỹ thuật số Chống rung quang học (OIS) Ban đêm (Night Mode) Zoom quang học Toàn cảnh (Panorama) Chuyên nghiệp (Pro) Quay siêu chậm (Super Slow Motion) Theo dõi chuyển động Trôi nhanh thời gian (Time Lapse) Trợ lí Chỉnh ảnh (Gợi ý chỉnh sửa, Hậu kì sáng tạo) Chế độ Super HDR Chụp hình & quay phim với Portrait AI Chống rung kỹ thuật số AI VDIS và quang học OIS Zoom quang học 3x Zoom kĩ thuật số 30x - Chụp bằng cử chỉ Làm đẹp (Beautify) - Samsung DeX Trợ lý ảo Samsung Bixby Ghi âm cuộc gọi Màn hình luôn bật (Alway on display) Khoanh Vùng Search Đa năng Trợ lý Chat thông minh Trợ lý Chỉnh ảnh Phiên dịch Trực tiếp Chặn tin nhắn Chặn cuộc gọi Samsung Wallet (Samsung Pay) Thu nhỏ màn hình sử dụng một tay AKG Dolby",,,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt,4G 5G,1 Type C,"802.11 a/b/g/n/ac/ax, 2x2 MIMO Wi-Fi Direct",GPS GLONASS BEIDOU GALILEO QZSS,v5.3,NFC Bluetooth,1,"1 eSIM, 1 Nano SIM",Lithium-ion,4000 mAh,Android,Android 14,Sách HDSD Que lấy SIM Cáp Type C,,,,,,,,,1.12 µm - 1.00 µm - 1.12 µm,1 x 3.2 GHz + 2 x 2.9 GHz + 3 x 2.6 GHz + 2 x 1.95 GHz,1.40 µm,,,,,,,,,,
Realme C55 8GB,2.842.400 ₫,5.990.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,03/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.65 x 75.98 x 7.89,189.5 g,Không,Nhựa,MediaTek Helio G88,Octa-Core,8,2 GHz,8 GB,6.7 inch,Chính: LCD,FHD+,1080 x 2400 Pixels,,,,Điện dung đa điểm,,,256 GB,,,MicroSD,Double rear camera,Wide - Depth,64.0 MP - 2.0 MP - 8.0 MP,,1080p@30fps 1080p@60fps 720p@30fps 720p@60fps,A.I Camera Ban đêm (Night Mode) Bộ lọc màu Chụp chân dung HDR Hiệu ứng Bokeh Làm đẹp (Beautify) Toàn cảnh (Panorama) - HDR,Single selfie camera,Cảm biến vân tay,Mở khoá vân tay cạnh viền Mở khóa khuôn mặt Mở khóa bằng mật mã,4G,Type C,Dual-band (2.4 GHz/ 5 GHz),BEIDOU GALILEO GLONASS GPS,v5.2,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0,Dây sạc Ốp lưng Sách HDSD Que lấy SIM,,86%,,,20:9,,,,,,,,,,,,,,,,
Vivo T1x 4GB,2.910.600 ₫,4.490.000 ₫,5 tháng,Trầy xước ít,Trung Quốc,07/2022,5,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.26 x 76.08 x 8.00,182 g,,Vỏ thân máy: Polymer,Snapdragon 680,Octa-Core,8,2.4 GHz,4 GB,6.58 inch,Chính: LCD,FHD+,2408 x 1080 Pixels,16 Triệu,90 Hz,,Điện dung đa điểm,,Mali-G68 MC4,64 GB,,Không giới hạn,MicroSD,Triple rear camera,Standard - Bokeh - Macro lens,50.0 MP - 2.0 MP - 2.0 MP - 8.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.4 - ƒ/1.8,,Chuyên nghiệp (Pro) Ban đêm (Night Mode) Chụp chân dung Toàn cảnh (Panorama) Quay video hiển thị kép Nhãn dán (AR Stickers) Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse),Single selfie camera,Con quay hồi chuyển Cảm biến la bàn Cảm biến tiệm cận Cảm biến ánh sáng Cảm biến trọng lực,Mở khóa khuôn mặt Mở khoá vân tay cạnh viền,4G,1 Type C,Dual-band (2.4 GHz/ 5 GHz),GPS,v5.0,Radio FM OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 11,Sạc Miếng dán màn hình Cáp Type C Sách HDSD Ốp lưng Que lấy SIM,1 TB,90.6%,,,,,,,,,,,,,,,,,,,
Xiaomi 13 Lite 8GB,3.962.640 ₫,Not available,1 tháng,Trầy xước ít,Trung Quốc,2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,159.2 x 72.7 x 7.2,171.8 g,,Mặt lưng máy: Kính Khung máy: Nhôm,,,8,2.4 GHz,8 GB,6.55 inch,AMOLED,FHD+,1080 x 2400 Pixels,1 Tỷ,120 Hz,Gorilla Glass 5,,1000 nits,,128 GB,Khoảng 100 GB,Không giới hạn,Không,Triple rear camera,Wide - Ultra Wide - Macro lens,50.0 MP - 2.0 MP - 32.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.0,1080p@120fps 1080p@30fps 1080p@60fps 4K 4230p@30fps HD 720p@960fps - Quay phim FullHD,Flash LED HDR Toàn cảnh (Panorama) - HDR,Double selfie camera,Cảm biến gia tốc Cảm biến la bàn Cảm biến vân tay Con quay hồi chuyển Cảm biến tiệm cận,Mở khóa vân tay dưới màn hình,4G 5G,Type C,802.11 b/g/n/ac Dual-band (2.4 GHz/ 5 GHz) Wifi 6 Wi-Fi Direct,BDS GALILEO GPS QZSS GLONASS,v5.2,,2,2 Nano SIM,Lithium polymer,4500 mAh,Android,Android 12,Cáp Ốp lưng Sạc Sách HDSD,,,,,20:9,401 ppi,,,1.00 µm - 0.80 µm,,1.12 µm,,,,,,,,,,
Realme C55 6GB,2.706.550 ₫,4.990.000 ₫,5 tháng,Trầy xước ít,Trung Quốc,03/2023,5,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.65 x 75.98 x 7.89,189.5 g,Không,Nhựa,MediaTek Helio G88,,8,2 GHz,6 GB,6.7 inch,Chính: LCD,FHD+,1080 x 2400 Pixels,,,,Điện dung đa điểm,,,128 GB,,,MicroSD,Double rear camera,Wide - Depth,64.0 MP - 2.0 MP - 8.0 MP,,1080p@30fps 1080p@60fps 720p@30fps 720p@60fps,A.I Camera Ban đêm (Night Mode) Bộ lọc màu Chụp chân dung HDR Hiệu ứng Bokeh Làm đẹp (Beautify) Toàn cảnh (Panorama) - HDR,Single selfie camera,Cảm biến vân tay,Mở khóa khuôn mặt Mở khoá vân tay cạnh viền Mở khóa bằng mật mã,4G,Type C,Dual-band (2.4 GHz/ 5 GHz),BEIDOU GALILEO GLONASS GPS,v5.2,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0,Sạc Ốp lưng Sách HDSD Que lấy SIM,,86%,,,20:9,,,,,,,,,,,,,,,,
Vivo Y15s 3GB,2.257.200 ₫,3.490.000 ₫,5 tháng,Không trầy xước,Trung Quốc,10/2021,5,,,163.9 x 75.2 x 8.28,179 g,Không,Polymer,Helio P35,Octa-Core,8,2.3 GHz,3 GB,6.51 inch,IPS LCD,HD+,720 x 1600 Pixels,16 Triệu,60 Hz,Kính cường lực,Điện dung đa điểm,,PowerVR GE8320,32 GB,Khoảng 22 GB,Không giới hạn,MicroSD,Double rear camera,Standard - Macro lens,13.0 MP - 2.0 MP - 8.0 MP,ƒ/2.2 - ƒ/2.4 - ƒ/2.0,HD 720p@30fps FullHD 1080p@30fps - Quay phim FullHD Quay phim HD Quay phim Slow Motion,Zoom kỹ thuật số Xóa phông Flash LED Chụp chân dung Chuyên nghiệp (Pro) Cài đặt cân bằng trắng ISO Setting Nhãn dán (AR Stickers) A.I Camera Nhận diện khuôn mặt Làm đẹp (Beautify) Trôi nhanh thời gian (Time Lapse) HDR Lấy nét theo pha (PDAF) Toàn cảnh (Panorama) Tự động lấy nét (AF) Làm đẹp video Quay chậm (Slow Motion) - Nhận diện khuôn mặt Nhãn dán (AR Stickers) Làm đẹp (Beautify) A.I Camera HDR Tự động lấy nét (AF),Single selfie camera,Cảm biến trọng lực Cảm biến ánh sáng Cảm biến tiệm cận Con quay hồi chuyển Cảm biến la bàn Cảm biến vân tay,Mở khóa bằng mật mã Mở khóa khuôn mặt,4G,Audio Jack: Jack 3.5 mm Cổng sạc: Micro-USB,Dual-band (2.4 GHz/ 5 GHz),BDS GALILEO GPS GLONASS,v5.0,Radio FM Computer sync OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 11,Ốp lưng Sạc Sách HDSD Cáp Que lấy SIM,1 TB,89%,,,20:9,,,,,,,,,,,,,,,,
